,File_name,Author_name,Credit,license_code,license_link,link_original_file,link_page
0,Rare Blue Super Moon 1.jpg,PumpkinSky,Own work,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,https://upload.wikimedia.org/wikipedia/commons/c/c6/Rare_Blue_Super_Moon_1.jpg,https://commons.wikimedia.org/wiki/File:Rare_Blue_Super_Moon_1.jpg
1,Rare Blue Super Moon 2.jpg,PumpkinSky,Own work,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,https://upload.wikimedia.org/wikipedia/commons/2/2c/Rare_Blue_Super_Moon_2.jpg,https://commons.wikimedia.org/wiki/File:Rare_Blue_Super_Moon_2.jpg
2,2017-10 Circumpolar Haut-Kœnigsbourg.jpg,0x010C,Own work,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://upload.wikimedia.org/wikipedia/commons/8/89/2017-10_Circumpolar_Haut-K%C5%93nigsbourg.jpg,https://commons.wikimedia.org/wiki/File:2017-10_Circumpolar_Haut-K%C5%93nigsbourg.jpg
3,Cygnus-Wall.jpg,Chuck Ayoub,Own work,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://upload.wikimedia.org/wikipedia/commons/2/22/Cygnus-Wall.jpg,https://commons.wikimedia.org/wiki/File:Cygnus-Wall.jpg
4,Waxing moon in tree 2.jpg,W.carter,Own work,Public domain,https://creativecommons.org/licenses/by-sa/4.0,https://upload.wikimedia.org/wikipedia/commons/2/24/Waxing_moon_in_tree_2.jpg,https://commons.wikimedia.org/wiki/File:Waxing_moon_in_tree_2.jpg
5,Sun in fog in Lysekil.jpg,W.carter,Own work,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://upload.wikimedia.org/wikipedia/commons/c/c9/Sun_in_fog_in_Lysekil.jpg,https://commons.wikimedia.org/wiki/File:Sun_in_fog_in_Lysekil.jpg
6,Moon 2017-02-17 UK.jpg,Colin,Own work,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://upload.wikimedia.org/wikipedia/commons/7/78/Moon_2017-02-17_UK.jpg,https://commons.wikimedia.org/wiki/File:Moon_2017-02-17_UK.jpg
7,Total Lunar Eclipse 28 09 2015.JPG,,Own work,CC BY-SA 3.0 at,https://creativecommons.org/licenses/by-sa/3.0/at/deed.en,https://upload.wikimedia.org/wikipedia/commons/6/6f/Total_Lunar_Eclipse_28_09_2015.JPG,https://commons.wikimedia.org/wiki/File:Total_Lunar_Eclipse_28_09_2015.JPG
8,Kuffner-Sternwarte - das Heliometer-1133-6.jpg,,Own work,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://upload.wikimedia.org/wikipedia/commons/e/e6/Kuffner-Sternwarte_-_das_Heliometer-1133-6.jpg,https://commons.wikimedia.org/wiki/File:Kuffner-Sternwarte_-_das_Heliometer-1133-6.jpg
9,2015 Koniunkcja Jowisza i Wenus.jpg,Jacek Halicki,Own work,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://upload.wikimedia.org/wikipedia/commons/0/0a/2015_Koniunkcja_Jowisza_i_Wenus.jpg,https://commons.wikimedia.org/wiki/File:2015_Koniunkcja_Jowisza_i_Wenus.jpg
10,2014 Meteor.jpg,Jacek Halicki,Own work,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://upload.wikimedia.org/wikipedia/commons/7/7d/2014_Meteor.jpg,https://commons.wikimedia.org/wiki/File:2014_Meteor.jpg
11,Mauna Kea Eastern Telescopes.jpg,Generic1139,Own work,CC BY 4.0,https://creativecommons.org/licenses/by/4.0,https://upload.wikimedia.org/wikipedia/commons/a/a0/Mauna_Kea_Eastern_Telescopes.jpg,https://commons.wikimedia.org/wiki/File:Mauna_Kea_Eastern_Telescopes.jpg
12,2014-04-10 21-49-06 lune.jpg,,Own work,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,https://upload.wikimedia.org/wikipedia/commons/3/3b/2014-04-10_21-49-06_lune.jpg,https://commons.wikimedia.org/wiki/File:2014-04-10_21-49-06_lune.jpg
13,Southern Cross and Coalsack Dark Nebula.jpg,Fedaro,Own work,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,https://upload.wikimedia.org/wikipedia/commons/3/39/Southern_Cross_and_Coalsack_Dark_Nebula.jpg,https://commons.wikimedia.org/wiki/File:Southern_Cross_and_Coalsack_Dark_Nebula.jpg
14,2013-03-03 21-15-34-gde-casserole-5c-10f-10d-16o-ann.jpg,,Own work,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,https://upload.wikimedia.org/wikipedia/commons/a/ab/2013-03-03_21-15-34-gde-casserole-5c-10f-10d-16o-ann.jpg,https://commons.wikimedia.org/wiki/File:2013-03-03_21-15-34-gde-casserole-5c-10f-10d-16o-ann.jpg
15,2012-12-31 21-10-15-orion-taurus-5c-25im-21d-27o.jpg,,Own work,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,https://upload.wikimedia.org/wikipedia/commons/2/2d/2012-12-31_21-10-15-orion-taurus-5c-25im-21d-27o.jpg,https://commons.wikimedia.org/wiki/File:2012-12-31_21-10-15-orion-taurus-5c-25im-21d-27o.jpg
16,2012-12-31 21-10-15-orion-taurus-5c-25im-21d-27o-ann.jpg,,Own work,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,https://upload.wikimedia.org/wikipedia/commons/d/dc/2012-12-31_21-10-15-orion-taurus-5c-25im-21d-27o-ann.jpg,https://commons.wikimedia.org/wiki/File:2012-12-31_21-10-15-orion-taurus-5c-25im-21d-27o-ann.jpg
17,2012-12-11 11-59-11-soleil-halpha.jpg,,Own work,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,https://upload.wikimedia.org/wikipedia/commons/5/50/2012-12-11_11-59-11-soleil-halpha.jpg,https://commons.wikimedia.org/wiki/File:2012-12-11_11-59-11-soleil-halpha.jpg
18,2012-12-11 11-55-31-soleil-halpha.jpg,,Own work,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,https://upload.wikimedia.org/wikipedia/commons/6/6d/2012-12-11_11-55-31-soleil-halpha.jpg,https://commons.wikimedia.org/wiki/File:2012-12-11_11-55-31-soleil-halpha.jpg
19,2012-10-25 20-41-01-waxing-gibbous-moon.jpg,,Own work,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,https://upload.wikimedia.org/wikipedia/commons/0/08/2012-10-25_20-41-01-waxing-gibbous-moon.jpg,https://commons.wikimedia.org/wiki/File:2012-10-25_20-41-01-waxing-gibbous-moon.jpg
20,2012-10-19 22-55-54-seloncourt.jpg,,Own work,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,https://upload.wikimedia.org/wikipedia/commons/7/7b/2012-10-19_22-55-54-seloncourt.jpg,https://commons.wikimedia.org/wiki/File:2012-10-19_22-55-54-seloncourt.jpg
21,2012-10-13 15-37-31-sun.jpg,,Own work,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,https://upload.wikimedia.org/wikipedia/commons/f/f1/2012-10-13_15-37-31-sun.jpg,https://commons.wikimedia.org/wiki/File:2012-10-13_15-37-31-sun.jpg
22,2012-10-13 15-29-35-sun.jpg,,Own work,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,https://upload.wikimedia.org/wikipedia/commons/6/6a/2012-10-13_15-29-35-sun.jpg,https://commons.wikimedia.org/wiki/File:2012-10-13_15-29-35-sun.jpg
23,2012-09-18 05-35-02-orion-taurus-and-10c-22f-25d-30o-ann.jpg,,Own work,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,https://upload.wikimedia.org/wikipedia/commons/d/d1/2012-09-18_05-35-02-orion-taurus-and-10c-22f-25d-30o-ann.jpg,https://commons.wikimedia.org/wiki/File:2012-09-18_05-35-02-orion-taurus-and-10c-22f-25d-30o-ann.jpg
24,2012-08-11 23-56-28-Cassiopeia-ann-2c-27f-28d.jpg,,Own work,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,https://upload.wikimedia.org/wikipedia/commons/7/7d/2012-08-11_23-56-28-Cassiopeia-ann-2c-27f-28d.jpg,https://commons.wikimedia.org/wiki/File:2012-08-11_23-56-28-Cassiopeia-ann-2c-27f-28d.jpg
25,2012-08-12 17-24-01-sun-halpha.jpg,,Own work,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,https://upload.wikimedia.org/wikipedia/commons/f/f4/2012-08-12_17-24-01-sun-halpha.jpg,https://commons.wikimedia.org/wiki/File:2012-08-12_17-24-01-sun-halpha.jpg
26,2012-08-12 17-22-35-sun-halpha.jpg,,Own work,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,https://upload.wikimedia.org/wikipedia/commons/7/7f/2012-08-12_17-22-35-sun-halpha.jpg,https://commons.wikimedia.org/wiki/File:2012-08-12_17-22-35-sun-halpha.jpg
27,2012-08-12 17-20-41-sun-halpha.jpg,,Own work,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,https://upload.wikimedia.org/wikipedia/commons/4/4c/2012-08-12_17-20-41-sun-halpha.jpg,https://commons.wikimedia.org/wiki/File:2012-08-12_17-20-41-sun-halpha.jpg
28,2012-08-11 23-56-28-Cassiopeia-2c-27f-28d.jpg,,Own work,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,https://upload.wikimedia.org/wikipedia/commons/7/70/2012-08-11_23-56-28-Cassiopeia-2c-27f-28d.jpg,https://commons.wikimedia.org/wiki/File:2012-08-11_23-56-28-Cassiopeia-2c-27f-28d.jpg
29,2012-08-11 23-46-33-iss.jpg,,Own work,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,https://upload.wikimedia.org/wikipedia/commons/7/77/2012-08-11_23-46-33-iss.jpg,https://commons.wikimedia.org/wiki/File:2012-08-11_23-46-33-iss.jpg
30,2012-08-11 17-05-15-sun-halpha.jpg,,Own work,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,https://upload.wikimedia.org/wikipedia/commons/2/26/2012-08-11_17-05-15-sun-halpha.jpg,https://commons.wikimedia.org/wiki/File:2012-08-11_17-05-15-sun-halpha.jpg
31,2012-08-11 17-01-49-sun-halpha.jpg,,Own work,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,https://upload.wikimedia.org/wikipedia/commons/1/16/2012-08-11_17-01-49-sun-halpha.jpg,https://commons.wikimedia.org/wiki/File:2012-08-11_17-01-49-sun-halpha.jpg
32,2012-07-31 22-55-29-m31-29f-30d.jpg,,Own work,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,https://upload.wikimedia.org/wikipedia/commons/7/74/2012-07-31_22-55-29-m31-29f-30d.jpg,https://commons.wikimedia.org/wiki/File:2012-07-31_22-55-29-m31-29f-30d.jpg
