,File_name,Author_name,Credit,license_code,license_link,link_original_file,link_page
0,Double rainbow over Tverrfjellet in Sulitjelma.jpg,Frankemann,Own work,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://upload.wikimedia.org/wikipedia/commons/5/55/Double_rainbow_over_Tverrfjellet_in_Sulitjelma.jpg,https://commons.wikimedia.org/wiki/File:Double_rainbow_over_Tverrfjellet_in_Sulitjelma.jpg
1,Double rainbow over Storelvvatnet i Sulitjelma.jpg,Frankemann,Own work,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://upload.wikimedia.org/wikipedia/commons/c/c0/Double_rainbow_over_Storelvvatnet_i_Sulitjelma.jpg,https://commons.wikimedia.org/wiki/File:Double_rainbow_over_Storelvvatnet_i_Sulitjelma.jpg
2,"2018-08-11 (114) View from Tirolerkogel to Ötscher, Annaberg, Austria.jpg",GT1976,Own work,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://upload.wikimedia.org/wikipedia/commons/a/a0/2018-08-11_%28114%29_View_from_Tirolerkogel_to_%C3%96tscher%2C_Annaberg%2C_Austria.jpg,https://commons.wikimedia.org/wiki/File:2018-08-11_%28114%29_View_from_Tirolerkogel_to_%C3%96tscher%2C_Annaberg%2C_Austria.jpg
3,"Rainbow from Rohtang pass road, 2.jpg",Yann Forget,Own work,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,https://upload.wikimedia.org/wikipedia/commons/7/78/Rainbow_from_Rohtang_pass_road%2C_2.jpg,https://commons.wikimedia.org/wiki/File:Rainbow_from_Rohtang_pass_road%2C_2.jpg
4,"Glaciar Margerie, Parque Nacional Bahía del Glaciar, Alaska, Estados Unidos, 2017-08-19, DD 50.jpg",Diego Delso,Own work,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://upload.wikimedia.org/wikipedia/commons/2/24/Glaciar_Margerie%2C_Parque_Nacional_Bah%C3%ADa_del_Glaciar%2C_Alaska%2C_Estados_Unidos%2C_2017-08-19%2C_DD_50.jpg,https://commons.wikimedia.org/wiki/File:Glaciar_Margerie%2C_Parque_Nacional_Bah%C3%ADa_del_Glaciar%2C_Alaska%2C_Estados_Unidos%2C_2017-08-19%2C_DD_50.jpg
5,Groyne at baltic sea near Graal-Müritz in winter.jpg,Leonhard Lenz,Own work,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://upload.wikimedia.org/wikipedia/commons/d/d9/Groyne_at_baltic_sea_near_Graal-M%C3%BCritz_in_winter.jpg,https://commons.wikimedia.org/wiki/File:Groyne_at_baltic_sea_near_Graal-M%C3%BCritz_in_winter.jpg
6,La Tarta - Tenerife 01.jpg,,Own work,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,https://upload.wikimedia.org/wikipedia/commons/1/17/La_Tarta_-_Tenerife_01.jpg,https://commons.wikimedia.org/wiki/File:La_Tarta_-_Tenerife_01.jpg
7,"Desprendimiento en el glaciar Margerie, Parque Nacional Bahía del Glaciar, Alaska, Estados Unidos, 2017-08-19, DD 55.jpg",Diego Delso,Own work,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://upload.wikimedia.org/wikipedia/commons/7/7d/Desprendimiento_en_el_glaciar_Margerie%2C_Parque_Nacional_Bah%C3%ADa_del_Glaciar%2C_Alaska%2C_Estados_Unidos%2C_2017-08-19%2C_DD_55.jpg,https://commons.wikimedia.org/wiki/File:Desprendimiento_en_el_glaciar_Margerie%2C_Parque_Nacional_Bah%C3%ADa_del_Glaciar%2C_Alaska%2C_Estados_Unidos%2C_2017-08-19%2C_DD_55.jpg
8,"Glaciar Davidson, Haines, Alaska, Estados Unidos, 2017-08-18, DD 80.jpg",Diego Delso,Own work,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://upload.wikimedia.org/wikipedia/commons/d/dc/Glaciar_Davidson%2C_Haines%2C_Alaska%2C_Estados_Unidos%2C_2017-08-18%2C_DD_80.jpg,https://commons.wikimedia.org/wiki/File:Glaciar_Davidson%2C_Haines%2C_Alaska%2C_Estados_Unidos%2C_2017-08-18%2C_DD_80.jpg
9,Submerged tree a sunny day in Si Phan Don.jpg,Basile Morin,Own work,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://upload.wikimedia.org/wikipedia/commons/1/16/Submerged_tree_a_sunny_day_in_Si_Phan_Don.jpg,https://commons.wikimedia.org/wiki/File:Submerged_tree_a_sunny_day_in_Si_Phan_Don.jpg
